"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Category","Value"
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S200OS","Other commercial services (Commercial services - Travel & Transport)","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S245","Communications services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S245","Communications services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S291","Memo item: Government services n.i.e.","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","158","CHT","Chinese Taipei","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Prior to 80 re-exports ($58 million in 80) are not covered"
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S288","Audio-visual and related services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S236","Travel","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S262","Computer and information services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S268","Other business services","-","-","-","-","USM","Million US dollar","Coverage","a) May cover transactions belonging to other services items for 2000-2003.b) Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S247","Telecommunication services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
